empresa_key,empresa_nome,ticker_yahoo,ticker_b3,moeda,setor,data_referencia,ano,mes,trimestre,periodo,preco_fechamento,volume_medio,market_cap_bi,pl_ratio,ev_ebitda,cambio_brl_usd,choque_periodo
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-07-01,2014,7,3,2014-Q3,6.292918682098389,263079000.0,35.924,9.2252245,,2.2674,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-08-01,2014,8,3,2014-Q3,7.991016387939453,333265000.0,45.618,9.2252245,,2.2396,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-09-01,2014,9,3,2014-Q3,5.758753776550293,500095400.0,32.875,9.2252245,,2.451,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-10-01,2014,10,4,2014-Q4,6.378807067871094,687321000.0,36.415,9.2252245,,2.4442,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-11-01,2014,11,4,2014-Q4,6.83197021484375,317972400.0,39.002,9.2252245,,2.5601,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2014-12-01,2014,12,4,2014-Q4,5.480347156524658,1009589772.0,31.286,9.2252245,,2.6562,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-01-01,2015,1,1,2015-Q1,4.829113960266113,240848000.0,27.568,9.2252245,,2.6623,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-02-01,2015,2,1,2015-Q1,5.544361114501953,236146600.0,31.651,9.2252245,,2.8782,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-03-01,2015,3,1,2015-Q1,5.37516450881958,276380800.0,30.685,9.2252245,,3.208,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-04-01,2015,4,2,2015-Q2,6.345447540283203,295298200.0,36.224,9.2252245,,2.9936,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-05-01,2015,5,2,2015-Q2,5.420567989349365,236489000.0,30.944,9.2252245,,3.1788,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-06-01,2015,6,2,2015-Q2,5.895646572113037,275087600.0,33.656,9.2252245,,3.1026,Recessao_2015-16
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2015-07-01,2015,7,3,2015-Q3,5.422296047210693,256372200.0,30.954,9.2252245,,3.394,Recessao_2015-16
